"BehaviorSpace results (NetLogo 6.2.0)"
"Misinformation.nlogo"
"100 reps"
"03/29/2021 14:47:30:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"using-small-screen","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"percent-misinformed","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"number-of-people","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"
"average-friends","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"news-trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[steps]","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101"

"[initial & final values]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]","count turtles with [belief > 50]"
,"224","192","249","258","254","251","265","345","318","346","285","215","168","406","246","379","229","243","184","99","277","197","217","42","168","223","248","232","237","332","288","193","277","309","172","148","233","154","295","197","282","158","273","281","275","181","224","275","227","229","221","244","226","306","249","187","215","278","178","289","254","260","306","367","222","169","266","197","213","317","258","285","173","288","180","173","241","280","214","256","233","230","197","188","247","275","229","207","233","250","197","127","246","284","204","236","364","351","303","281"
